INFO:root:start with arguments Namespace(batch_size=128, benchmark=0, brightness=0, contrast=0, data_nthreads=4, data_train='data/cifar10_train.rec', data_train_idx='', data_val='data/cifar10_val.rec', data_val_idx='', disp_batches=1, dtype='float32', fill_value=127, gc_threshold=0.5, gc_type='none', gpus='0', image_shape='3,28,28', initializer='default', kv_store='device', load_epoch=None, loss='ce', lr=0.05, lr_factor=0.1, lr_step_epochs='200,250', macrobatch_size=0, max_crop_size=-1, max_random_area=1, max_random_aspect_ratio=0, max_random_h=0, max_random_l=0, max_random_rotate_angle=0, max_random_s=0, max_random_scale=1, max_random_shear_ratio=0, min_crop_size=-1, min_random_area=1, min_random_aspect_ratio=None, min_random_scale=1, model_prefix=None, mom=0.9, monitor=0, network='resnet', num_classes=10, num_epochs=300, num_examples=50000, num_layers=110, optimizer='sgd', pad_size=4, pca_noise=0, profile_server_suffix='', profile_worker_suffix='', random_crop=0, random_mirror=0, random_resized_crop=0, rgb_mean='123.68,116.779,103.939', rgb_std='1,1,1', saturation=0, save_period=1, test_io=0, top_k=0, use_imagenet_data_augmentation=0, warmup_epochs=5, warmup_strategy='linear', wd=0.0001)
INFO:root:Epoch[0] Batch [79-80]	Speed: 1304.19 samples/sec	accuracy=0.375000	cross-entropy=1.692853
INFO:root:Epoch[0] Batch [80-81]	Speed: 1380.20 samples/sec	accuracy=0.375000	cross-entropy=1.714230
INFO:root:Epoch[0] Batch [81-82]	Speed: 1386.19 samples/sec	accuracy=0.414062	cross-entropy=1.522639
INFO:root:Epoch[0] Batch [82-83]	Speed: 1263.56 samples/sec	accuracy=0.359375	cross-entropy=1.777091
INFO:root:Epoch[0] Batch [83-84]	Speed: 1233.12 samples/sec	accuracy=0.351562	cross-entropy=1.660470
INFO:root:Epoch[0] Batch [84-85]	Speed: 1472.83 samples/sec	accuracy=0.375000	cross-entropy=1.709365
INFO:root:Epoch[0] Batch [85-86]	Speed: 877.69 samples/sec	accuracy=0.281250	cross-entropy=1.945834
INFO:root:Epoch[0] Batch [86-87]	Speed: 1174.45 samples/sec	accuracy=0.343750	cross-entropy=1.857032
INFO:root:Epoch[0] Batch [87-88]	Speed: 1333.26 samples/sec	accuracy=0.390625	cross-entropy=1.680421
INFO:root:Epoch[0] Batch [88-89]	Speed: 951.83 samples/sec	accuracy=0.453125	cross-entropy=1.577918
INFO:root:Epoch[0] Batch [89-90]	Speed: 932.97 samples/sec	accuracy=0.359375	cross-entropy=1.644269
INFO:root:Epoch[0] Batch [90-91]	Speed: 1033.52 samples/sec	accuracy=0.281250	cross-entropy=1.703487
INFO:root:Epoch[0] Batch [91-92]	Speed: 1226.08 samples/sec	accuracy=0.328125	cross-entropy=1.667175
INFO:root:Epoch[0] Batch [92-93]	Speed: 1328.55 samples/sec	accuracy=0.390625	cross-entropy=1.667827
INFO:root:Epoch[0] Batch [93-94]	Speed: 1338.89 samples/sec	accuracy=0.406250	cross-entropy=1.581350
INFO:root:Epoch[0] Batch [94-95]	Speed: 1359.61 samples/sec	accuracy=0.328125	cross-entropy=1.748332
INFO:root:Epoch[0] Batch [95-96]	Speed: 1258.26 samples/sec	accuracy=0.296875	cross-entropy=1.850366
INFO:root:Epoch[0] Batch [96-97]	Speed: 1249.14 samples/sec	accuracy=0.367188	cross-entropy=1.712509
INFO:root:Epoch[0] Batch [97-98]	Speed: 1365.23 samples/sec	accuracy=0.468750	cross-entropy=1.601851
INFO:root:Epoch[0] Batch [98-99]	Speed: 1054.33 samples/sec	accuracy=0.351562	cross-entropy=1.561269
INFO:root:Epoch[0] Batch [99-100]	Speed: 992.94 samples/sec	accuracy=0.328125	cross-entropy=1.739792
INFO:root:Epoch[0] Batch [100-101]	Speed: 977.26 samples/sec	accuracy=0.414062	cross-entropy=1.581803
INFO:root:Epoch[0] Batch [101-102]	Speed: 980.91 samples/sec	accuracy=0.414062	cross-entropy=1.576386
INFO:root:Epoch[0] Batch [102-103]	Speed: 1023.57 samples/sec	accuracy=0.320312	cross-entropy=1.768391
INFO:root:Epoch[0] Batch [103-104]	Speed: 1023.60 samples/sec	accuracy=0.328125	cross-entropy=1.745133
INFO:root:Epoch[0] Batch [104-105]	Speed: 1027.00 samples/sec	accuracy=0.390625	cross-entropy=1.618265
INFO:root:Epoch[0] Batch [105-106]	Speed: 957.39 samples/sec	accuracy=0.359375	cross-entropy=1.647629
INFO:root:Epoch[0] Batch [106-107]	Speed: 990.67 samples/sec	accuracy=0.460938	cross-entropy=1.521083
INFO:root:Epoch[0] Batch [107-108]	Speed: 1023.38 samples/sec	accuracy=0.398438	cross-entropy=1.644895
INFO:root:Epoch[0] Batch [108-109]	Speed: 1035.53 samples/sec	accuracy=0.312500	cross-entropy=1.698964
INFO:root:Epoch[0] Batch [109-110]	Speed: 922.03 samples/sec	accuracy=0.367188	cross-entropy=1.711342
INFO:root:Epoch[0] Batch [110-111]	Speed: 968.89 samples/sec	accuracy=0.351562	cross-entropy=1.603723
INFO:root:Epoch[0] Batch [111-112]	Speed: 1011.82 samples/sec	accuracy=0.328125	cross-entropy=1.736178
INFO:root:Epoch[0] Batch [112-113]	Speed: 1041.57 samples/sec	accuracy=0.406250	cross-entropy=1.672882
INFO:root:Epoch[0] Batch [113-114]	Speed: 1010.84 samples/sec	accuracy=0.375000	cross-entropy=1.693516
INFO:root:Epoch[0] Batch [114-115]	Speed: 1002.38 samples/sec	accuracy=0.382812	cross-entropy=1.696508
INFO:root:Epoch[0] Batch [115-116]	Speed: 1032.03 samples/sec	accuracy=0.375000	cross-entropy=1.646474
INFO:root:Epoch[0] Batch [116-117]	Speed: 1162.36 samples/sec	accuracy=0.421875	cross-entropy=1.627201
INFO:root:Epoch[0] Batch [117-118]	Speed: 1704.53 samples/sec	accuracy=0.359375	cross-entropy=1.728731
INFO:root:Epoch[0] Batch [118-119]	Speed: 1263.08 samples/sec	accuracy=0.390625	cross-entropy=1.628478
INFO:root:Epoch[0] Batch [119-120]	Speed: 1232.48 samples/sec	accuracy=0.351562	cross-entropy=1.593717
INFO:root:Epoch[0] Batch [120-121]	Speed: 1262.19 samples/sec	accuracy=0.351562	cross-entropy=1.765797
INFO:root:Epoch[0] Batch [121-122]	Speed: 1633.75 samples/sec	accuracy=0.429688	cross-entropy=1.561030
INFO:root:Epoch[0] Batch [122-123]	Speed: 1130.57 samples/sec	accuracy=0.343750	cross-entropy=1.698284
INFO:root:Epoch[0] Batch [123-124]	Speed: 1231.10 samples/sec	accuracy=0.437500	cross-entropy=1.520594
INFO:root:Epoch[0] Batch [124-125]	Speed: 1158.57 samples/sec	accuracy=0.445312	cross-entropy=1.579572
INFO:root:Epoch[0] Batch [125-126]	Speed: 1222.64 samples/sec	accuracy=0.351562	cross-entropy=1.780273
INFO:root:Epoch[0] Batch [126-127]	Speed: 996.34 samples/sec	accuracy=0.367188	cross-entropy=1.643291
INFO:root:Epoch[0] Batch [127-128]	Speed: 999.32 samples/sec	accuracy=0.453125	cross-entropy=1.605593
INFO:root:Epoch[0] Batch [128-129]	Speed: 1017.86 samples/sec	accuracy=0.375000	cross-entropy=1.517067
INFO:root:Epoch[0] Batch [129-130]	Speed: 1014.72 samples/sec	accuracy=0.328125	cross-entropy=1.662936
INFO:root:Epoch[0] Batch [130-131]	Speed: 1015.61 samples/sec	accuracy=0.414062	cross-entropy=1.627280
INFO:root:Epoch[0] Batch [131-132]	Speed: 996.05 samples/sec	accuracy=0.320312	cross-entropy=1.635071
INFO:root:Epoch[0] Batch [132-133]	Speed: 957.00 samples/sec	accuracy=0.406250	cross-entropy=1.527071
INFO:root:Epoch[0] Batch [133-134]	Speed: 1005.52 samples/sec	accuracy=0.367188	cross-entropy=1.651010
INFO:root:Epoch[0] Batch [134-135]	Speed: 1015.78 samples/sec	accuracy=0.437500	cross-entropy=1.558453
INFO:root:Epoch[0] Batch [135-136]	Speed: 1001.15 samples/sec	accuracy=0.320312	cross-entropy=1.807824
INFO:root:Epoch[0] Batch [136-137]	Speed: 1027.58 samples/sec	accuracy=0.460938	cross-entropy=1.465995
INFO:root:Epoch[0] Batch [137-138]	Speed: 916.02 samples/sec	accuracy=0.382812	cross-entropy=1.690598
INFO:root:Epoch[0] Batch [138-139]	Speed: 1017.14 samples/sec	accuracy=0.367188	cross-entropy=1.658710
INFO:root:Epoch[0] Batch [139-140]	Speed: 1248.89 samples/sec	accuracy=0.382812	cross-entropy=1.620999
INFO:root:Epoch[0] Batch [140-141]	Speed: 1081.45 samples/sec	accuracy=0.375000	cross-entropy=1.735829
INFO:root:Epoch[0] Batch [141-142]	Speed: 1188.94 samples/sec	accuracy=0.445312	cross-entropy=1.648445
INFO:root:Epoch[0] Batch [142-143]	Speed: 986.13 samples/sec	accuracy=0.437500	cross-entropy=1.456874
INFO:root:Epoch[0] Batch [143-144]	Speed: 2053.26 samples/sec	accuracy=0.359375	cross-entropy=1.715580
INFO:root:Epoch[0] Batch [144-145]	Speed: 1784.11 samples/sec	accuracy=0.453125	cross-entropy=1.467469
INFO:root:Epoch[0] Batch [145-146]	Speed: 1480.54 samples/sec	accuracy=0.468750	cross-entropy=1.487180
INFO:root:Epoch[0] Batch [146-147]	Speed: 836.77 samples/sec	accuracy=0.382812	cross-entropy=1.597221
INFO:root:Epoch[0] Batch [147-148]	Speed: 1330.37 samples/sec	accuracy=0.351562	cross-entropy=1.572365
INFO:root:Epoch[0] Batch [148-149]	Speed: 1299.86 samples/sec	accuracy=0.382812	cross-entropy=1.688231
INFO:root:Epoch[0] Batch [149-150]	Speed: 1346.40 samples/sec	accuracy=0.437500	cross-entropy=1.543248
INFO:root:Epoch[0] Batch [150-151]	Speed: 986.88 samples/sec	accuracy=0.460938	cross-entropy=1.608684
INFO:root:Epoch[0] Batch [151-152]	Speed: 1253.36 samples/sec	accuracy=0.390625	cross-entropy=1.649856
INFO:root:Epoch[0] Batch [152-153]	Speed: 1339.20 samples/sec	accuracy=0.429688	cross-entropy=1.508036
INFO:root:Epoch[0] Batch [153-154]	Speed: 1295.35 samples/sec	accuracy=0.414062	cross-entropy=1.630793
INFO:root:Epoch[0] Batch [154-155]	Speed: 931.21 samples/sec	accuracy=0.375000	cross-entropy=1.631722
INFO:root:Epoch[0] Batch [155-156]	Speed: 1030.77 samples/sec	accuracy=0.414062	cross-entropy=1.674083
INFO:root:Epoch[0] Batch [156-157]	Speed: 1115.24 samples/sec	accuracy=0.390625	cross-entropy=1.638499
INFO:root:Epoch[0] Batch [157-158]	Speed: 1293.69 samples/sec	accuracy=0.453125	cross-entropy=1.499189
INFO:root:Epoch[0] Batch [158-159]	Speed: 1131.87 samples/sec	accuracy=0.335938	cross-entropy=1.715037
INFO:root:Epoch[0] Batch [159-160]	Speed: 1202.35 samples/sec	accuracy=0.406250	cross-entropy=1.648893
INFO:root:Epoch[0] Batch [160-161]	Speed: 2265.93 samples/sec	accuracy=0.421875	cross-entropy=1.477996
INFO:root:Epoch[0] Batch [161-162]	Speed: 1166.83 samples/sec	accuracy=0.468750	cross-entropy=1.500989
INFO:root:Epoch[0] Batch [162-163]	Speed: 1310.69 samples/sec	accuracy=0.406250	cross-entropy=1.657450
INFO:root:Epoch[0] Batch [163-164]	Speed: 1140.42 samples/sec	accuracy=0.343750	cross-entropy=1.610603
INFO:root:Epoch[0] Batch [164-165]	Speed: 1217.57 samples/sec	accuracy=0.421875	cross-entropy=1.625540
INFO:root:Epoch[0] Batch [165-166]	Speed: 1116.67 samples/sec	accuracy=0.523438	cross-entropy=1.437231
INFO:root:Epoch[0] Batch [166-167]	Speed: 915.76 samples/sec	accuracy=0.429688	cross-entropy=1.542753
INFO:root:Epoch[0] Batch [167-168]	Speed: 884.80 samples/sec	accuracy=0.375000	cross-entropy=1.569075
INFO:root:Epoch[0] Batch [168-169]	Speed: 977.56 samples/sec	accuracy=0.437500	cross-entropy=1.495755
INFO:root:Epoch[0] Batch [169-170]	Speed: 1352.83 samples/sec	accuracy=0.421875	cross-entropy=1.626643
INFO:root:Epoch[0] Batch [170-171]	Speed: 1346.52 samples/sec	accuracy=0.429688	cross-entropy=1.574399
INFO:root:Epoch[0] Batch [171-172]	Speed: 1191.69 samples/sec	accuracy=0.398438	cross-entropy=1.636318
INFO:root:Epoch[0] Batch [172-173]	Speed: 1116.62 samples/sec	accuracy=0.375000	cross-entropy=1.625213
INFO:root:Epoch[0] Batch [173-174]	Speed: 1312.40 samples/sec	accuracy=0.429688	cross-entropy=1.505649
